Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,dataset
Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 22:50:00,2022-06-07 19:00:00,20h 10m,1 stop,In-flight meal not included,10262.0,train
Jet Airways,2019-09-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 17:30:00,2022-06-10 04:25:00,10h 55m,1 stop,In-flight meal not included,10262.0,train
Air Asia,2019-05-27,Delhi,Cochin,DEL → BLR → COK,2022-01-05 16:45:00,2022-01-05 22:25:00,5h 40m,1 stop,No info,6752.0,train
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,2022-01-05 06:05:00,2022-01-05 08:50:00,2h 45m,non-stop,No info,4423.0,train
Air Asia,2019-05-21,Banglore,Delhi,BLR → DEL,2022-01-05 11:10:00,2022-01-05 13:55:00,2h 45m,non-stop,No info,3383.0,train
Air India,2019-06-15,Delhi,Cochin,DEL → UDR → BOM → COK,2022-01-05 13:20:00,2022-06-16 07:40:00,18h 20m,2 stops,No info,12121.0,train
Multiple carriers,2019-09-05,Delhi,Cochin,DEL → BOM → COK,2022-01-05 11:40:00,2022-05-10 01:30:00,13h 50m,1 stop,No info,9021.0,train
Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 11:40:00,2022-01-05 19:15:00,7h 35m,1 stop,No info,8266.0,train
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 19:45:00,2022-06-04 19:00:00,23h 15m,1 stop,No info,14714.0,train
Air India,2019-06-27,Delhi,Cochin,DEL → BHO → BOM → COK,2022-01-05 05:55:00,2022-01-05 19:15:00,13h 20m,2 stops,No info,11386.0,train
Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 08:55:00,2022-03-07 08:15:00,23h 20m,1 stop,No info,14815.0,train
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 09:00:00,2022-03-07 04:25:00,19h 25m,1 stop,In-flight meal not included,13843.0,train
IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,2022-01-05 07:30:00,2022-01-05 21:00:00,13h 30m,1 stop,No info,7191.0,train
SpiceJet,2019-03-03,Kolkata,Banglore,CCU → BLR,2022-01-05 17:15:00,2022-01-05 19:45:00,2h 30m,non-stop,No info,6251.0,train
Jet Airways,2019-03-27,Delhi,Cochin,DEL → MAA → BOM → COK,2022-01-05 05:10:00,2022-03-28 04:25:00,23h 15m,2 stops,In-flight meal not included,9412.0,train
SpiceJet,2019-03-15,Kolkata,Banglore,CCU → BLR,2022-01-05 22:20:00,2022-03-16 00:40:00,2h 20m,non-stop,No check-in baggage included,3815.0,train
Air India,2019-05-15,Mumbai,Hyderabad,BOM → HYD,2022-01-05 19:30:00,2022-01-05 20:45:00,1h 15m,non-stop,No info,3100.0,train
Vistara,2019-06-21,Delhi,Cochin,DEL → COK,2022-01-05 14:40:00,2022-01-05 17:50:00,3h 10m,non-stop,No info,6216.0,train
Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 14:00:00,2022-06-28 01:30:00,11h 30m,1 stop,No info,13377.0,train
IndiGo,2019-03-21,Banglore,New Delhi,BLR → HYD → DEL,2022-01-05 07:30:00,2022-01-05 12:20:00,4h 50m,1 stop,No info,5694.0,train
Air India,2019-05-21,Kolkata,Banglore,CCU → VNS → DEL → BLR,2022-01-05 14:30:00,2022-05-22 12:30:00,22h,2 stops,No info,15107.0,train
Air India,2019-09-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 23:00:00,2022-03-10 19:15:00,20h 15m,1 stop,No info,11260.0,train
Air India,2019-05-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 08:00:00,2022-01-05 19:15:00,11h 15m,1 stop,No info,9929.0,train
Air India,2019-03-21,Delhi,Cochin,DEL → MAA → COK,2022-01-05 20:40:00,2022-03-22 09:25:00,12h 45m,1 stop,No info,5642.0,train
Multiple carriers,2019-09-05,Delhi,Cochin,DEL → BOM → COK,2022-01-05 13:00:00,2022-05-10 01:30:00,12h 30m,1 stop,No info,15078.0,train
Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 14:00:00,2022-06-13 01:30:00,11h 30m,1 stop,No info,13377.0,train
Air India,2019-05-15,Kolkata,Banglore,CCU → DEL → COK → BLR,2022-01-05 20:30:00,2022-05-16 13:45:00,17h 15m,2 stops,No info,16057.0,train
Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 05:45:00,2022-01-05 10:45:00,5h,1 stop,No info,12284.0,train
Jet Airways,2019-03-18,Mumbai,Hyderabad,BOM → HYD,2022-01-05 19:35:00,2022-01-05 21:05:00,1h 30m,non-stop,No info,5678.0,train
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 18:00:00,2022-03-04 01:35:00,7h 35m,1 stop,No info,17703.0,train
IndiGo,2019-03-06,Banglore,Delhi,BLR → DEL,2022-01-05 07:10:00,2022-01-05 10:05:00,2h 55m,non-stop,No info,4823.0,train
Air India,2019-01-04,Kolkata,Banglore,CCU → IXR → BBI → BLR,2022-01-05 05:50:00,2022-01-05 13:15:00,7h 25m,2 stops,No info,5562.0,train
IndiGo,2019-06-03,Delhi,Cochin,DEL → BBI → COK,2022-01-05 02:35:00,2022-01-05 08:30:00,5h 55m,1 stop,No info,13790.0,train
Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 16:30:00,2022-05-02 08:15:00,15h 45m,1 stop,In-flight meal not included,8586.0,train
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 07:30:00,2022-01-05 19:00:00,11h 30m,1 stop,No info,11264.0,train
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 18:55:00,2022-05-13 04:40:00,9h 45m,1 stop,In-flight meal not included,9663.0,train
IndiGo,2019-06-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 08:30:00,2022-01-05 21:00:00,12h 30m,1 stop,No info,6416.0,train
IndiGo,2019-09-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 16:00:00,2022-01-05 21:00:00,5h,1 stop,No info,7725.0,train
Jet Airways,2019-01-06,Delhi,Cochin,DEL → NAG → BOM → COK,2022-01-05 14:35:00,2022-06-02 12:35:00,22h,2 stops,No info,13376.0,train
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 13:55:00,2022-03-25 12:00:00,22h 5m,1 stop,No info,14231.0,train
Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 11:30:00,2022-03-04 04:25:00,16h 55m,1 stop,No info,19828.0,train
Jet Airways,2019-03-27,Mumbai,Hyderabad,BOM → HYD,2022-01-05 07:10:00,2022-01-05 08:35:00,1h 25m,non-stop,No info,8040.0,train
Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,2022-01-05 17:00:00,2022-01-05 19:45:00,2h 45m,non-stop,No info,25913.0,train
Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,2022-01-05 09:00:00,2022-01-05 19:00:00,10h,1 stop,No info,16079.0,train
Air India,2019-03-03,Mumbai,Hyderabad,BOM → HYD,2022-01-05 21:05:00,2022-01-05 22:25:00,1h 20m,non-stop,No info,4937.0,train
Air India,2019-06-27,Delhi,Cochin,DEL → HYD → BOM → COK,2022-01-05 17:15:00,2022-06-28 07:40:00,14h 25m,2 stops,No info,13039.0,train
Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 20:25:00,2022-05-02 14:25:00,18h,1 stop,In-flight meal not included,9314.0,train
SpiceJet,2019-06-27,Delhi,Cochin,DEL → BLR → COK,2022-01-05 17:55:00,2022-01-05 22:50:00,4h 55m,1 stop,No info,4957.0,train
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 04:00:00,2022-01-05 11:30:00,7h 30m,1 stop,No info,14973.0,train
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 08:25:00,2022-01-05 16:20:00,7h 55m,1 stop,No info,14571.0,train
IndiGo,2019-06-05,Kolkata,Banglore,CCU → BLR,2022-01-05 14:25:00,2022-01-05 16:55:00,2h 30m,non-stop,No info,5224.0,train
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,2022-01-05 09:15:00,2022-01-05 19:00:00,9h 45m,1 stop,No info,11622.0,train
GoAir,2019-05-27,Banglore,Delhi,BLR → DEL,2022-01-05 20:55:00,2022-01-05 23:40:00,2h 45m,non-stop,No info,3419.0,train
Jet Airways,2019-01-06,Delhi,Cochin,DEL → BHO → BOM → COK,2022-01-05 05:30:00,2022-01-05 12:35:00,7h 5m,2 stops,In-flight meal not included,13344.0,train
IndiGo,2019-06-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 16:00:00,2022-06-07 01:30:00,9h 30m,1 stop,No info,6316.0,train
IndiGo,2019-06-21,Mumbai,Hyderabad,BOM → HYD,2022-01-05 16:55:00,2022-01-05 18:25:00,1h 30m,non-stop,No info,4392.0,train
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,2022-01-05 13:25:00,2022-05-19 04:25:00,15h,2 stops,No info,16704.0,train
Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 18:55:00,2022-06-13 12:00:00,17h 5m,1 stop,In-flight meal not included,8529.0,train
Jet Airways,2019-12-06,Delhi,Cochin,DEL → ATQ → BOM → COK,2022-01-05 12:15:00,2022-06-13 12:35:00,24h 20m,2 stops,No info,14300.0,train
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 13:00:00,2022-05-28 01:30:00,12h 30m,1 stop,No info,7198.0,train
Jet Airways,2019-12-06,Delhi,Cochin,DEL → ATQ → BOM → COK,2022-01-05 18:20:00,2022-06-13 19:00:00,24h 40m,2 stops,No info,14300.0,train
Jet Airways,2019-03-04,Banglore,Delhi,BLR → DEL,2022-01-05 18:55:00,2022-01-05 22:00:00,3h 5m,non-stop,No info,7229.0,train
SpiceJet,2019-09-06,Kolkata,Banglore,CCU → BLR,2022-01-05 09:00:00,2022-01-05 11:25:00,2h 25m,non-stop,No check-in baggage included,3841.0,train
Jet Airways,2019-01-05,Banglore,Delhi,BLR → DEL,2022-01-05 06:00:00,2022-01-05 08:45:00,2h 45m,non-stop,In-flight meal not included,4030.0,train
Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,2022-01-05 20:55:00,2022-05-22 04:25:00,7h 30m,1 stop,No info,16079.0,train
IndiGo,2019-05-27,Mumbai,Hyderabad,BOM → HYD,2022-01-05 12:00:00,2022-01-05 13:30:00,1h 30m,non-stop,No info,2754.0,train
IndiGo,2019-03-06,Delhi,Cochin,DEL → BLR → COK,2022-01-05 05:10:00,2022-01-05 10:05:00,4h 55m,1 stop,No info,6842.0,train
Vistara,2019-03-24,Banglore,New Delhi,BLR → DEL,2022-01-05 09:50:00,2022-01-05 12:35:00,2h 45m,non-stop,No info,6138.0,train
Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 20:00:00,2022-06-13 04:40:00,8h 40m,1 stop,No info,12576.0,train
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 09:35:00,2022-05-13 14:25:00,28h 50m,1 stop,No info,13067.0,train
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → GAU → BLR,2022-01-05 10:20:00,2022-01-05 17:35:00,7h 15m,1 stop,No info,9358.0,train
Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 08:25:00,2022-05-10 04:40:00,20h 15m,1 stop,In-flight meal not included,8586.0,train
Air India,2019-06-04,Banglore,Delhi,BLR → DEL,2022-01-05 13:20:00,2022-01-05 16:10:00,2h 50m,non-stop,No info,5176.0,train
Air India,2019-06-15,Delhi,Cochin,DEL → MAA → COK,2022-01-05 20:40:00,2022-06-16 09:25:00,12h 45m,1 stop,No info,7480.0,train
Air India,2019-06-06,Kolkata,Banglore,CCU → IXR → DEL → BLR,2022-01-05 05:50:00,2022-06-07 12:30:00,30h 40m,2 stops,No info,12723.0,train
Air India,2019-01-04,Kolkata,Banglore,CCU → BBI → BLR,2022-01-05 09:10:00,2022-01-05 13:15:00,4h 5m,1 stop,No info,5793.0,train
Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 09:00:00,2022-01-05 19:15:00,10h 15m,1 stop,No info,14848.0,train
Air India,2019-05-15,Delhi,Cochin,DEL → AMD → BOM → COK,2022-01-05 05:00:00,2022-05-16 19:15:00,38h 15m,2 stops,No info,10493.0,train
Jet Airways,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 20:25:00,2022-05-10 18:00:00,21h 35m,1 stop,No info,11467.0,train
Air India,2019-05-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 03:50:00,2022-01-05 19:15:00,15h 25m,1 stop,No info,9719.0,train
SpiceJet,2019-04-15,Kolkata,Banglore,CCU → BLR,2022-01-05 22:20:00,2022-04-16 00:40:00,2h 20m,non-stop,No info,3873.0,train
IndiGo,2019-03-21,Delhi,Cochin,DEL → MAA → COK,2022-01-05 02:05:00,2022-01-05 07:25:00,5h 20m,1 stop,No info,4862.0,train
SpiceJet,2019-03-04,Banglore,Delhi,BLR → DEL,2022-01-05 09:30:00,2022-01-05 12:20:00,2h 50m,non-stop,No info,3971.0,train
Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 11:40:00,2022-03-19 10:25:00,22h 45m,1 stop,In-flight meal not included,7832.0,train
SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,2022-01-05 09:30:00,2022-01-05 12:20:00,2h 50m,non-stop,No info,3625.0,train
Vistara,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 17:00:00,2022-05-02 18:50:00,25h 50m,1 stop,No info,8610.0,train
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,2022-01-05 09:00:00,2022-01-05 15:30:00,6h 30m,1 stop,No info,14486.0,train
SpiceJet,2019-09-05,Kolkata,Banglore,CCU → BLR,2022-01-05 09:00:00,2022-01-05 11:25:00,2h 25m,non-stop,No check-in baggage included,3841.0,train
Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 14:05:00,2022-05-10 04:40:00,14h 35m,1 stop,No info,13941.0,train
IndiGo,2019-12-05,Banglore,Delhi,BLR → DEL,2022-01-05 18:55:00,2022-01-05 21:50:00,2h 55m,non-stop,No info,4823.0,train
Air India,2019-01-05,Kolkata,Banglore,CCU → BBI → BOM → BLR,2022-01-05 09:10:00,2022-01-05 21:50:00,12h 40m,2 stops,No info,12009.0,train
SpiceJet,2019-06-21,Chennai,Kolkata,MAA → CCU,2022-01-05 08:20:00,2022-01-05 10:35:00,2h 15m,non-stop,No info,3597.0,train
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,2022-01-05 16:00:00,2022-03-04 01:35:00,9h 35m,1 stop,No info,21226.0,train
Jet Airways,2019-09-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 19:15:00,2022-06-10 12:35:00,17h 20m,1 stop,In-flight meal not included,10577.0,train
Air Asia,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 07:35:00,2022-01-05 19:25:00,11h 50m,1 stop,No info,5320.0,train
IndiGo,2019-03-21,Banglore,New Delhi,BLR → DEL,2022-01-05 07:10:00,2022-01-05 10:05:00,2h 55m,non-stop,No info,6860.0,train
SpiceJet,2019-03-21,Mumbai,Hyderabad,BOM → HYD,2022-01-05 22:45:00,2022-03-22 00:10:00,1h 25m,non-stop,No info,1759.0,train
Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 11:30:00,2022-03-28 04:25:00,16h 55m,1 stop,No info,12242.0,train
SpiceJet,2019-03-06,Kolkata,Banglore,CCU → BLR,2022-01-05 22:20:00,2022-06-04 00:40:00,2h 20m,non-stop,No check-in baggage included,3841.0,train
Jet Airways,2019-05-27,Banglore,Delhi,BLR → DEL,2022-01-05 15:15:00,2022-01-05 18:10:00,2h 55m,non-stop,In-flight meal not included,3502.0,train
Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 14:05:00,2022-01-05 23:35:00,9h 30m,1 stop,In-flight meal not included,10844.0,train
IndiGo,2019-09-04,Kolkata,Banglore,CCU → BLR,2022-01-05 21:25:00,2022-04-10 00:05:00,2h 40m,non-stop,No info,4174.0,train
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → GAU → BLR,2022-01-05 10:20:00,2022-01-05 17:35:00,7h 15m,1 stop,In-flight meal not included,5608.0,train
IndiGo,2019-05-24,Kolkata,Banglore,CCU → PAT → BLR,2022-01-05 09:20:00,2022-01-05 14:15:00,4h 55m,1 stop,No info,9376.0,train
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 21:10:00,2022-05-07 16:20:00,19h 10m,1 stop,No info,13584.0,train
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,2022-01-05 08:30:00,2022-01-05 19:15:00,10h 45m,1 stop,No info,7354.0,train
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 20:00:00,2022-05-13 18:15:00,22h 15m,1 stop,In-flight meal not included,10844.0,train
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 18:55:00,2022-05-13 08:15:00,13h 20m,1 stop,No info,14388.0,train
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 05:45:00,2022-01-05 16:20:00,10h 35m,1 stop,No info,14781.0,train
Air India,2019-05-27,Delhi,Cochin,DEL → JAI → BOM → COK,2022-01-05 12:00:00,2022-01-05 19:15:00,7h 15m,2 stops,No info,9653.0,train
Jet Airways,2019-09-06,Delhi,Cochin,DEL → BOM → COK,2022-01-05 10:00:00,2022-06-10 04:25:00,18h 25m,1 stop,In-flight meal not included,10262.0,train
IndiGo,2019-06-06,Delhi,Cochin,DEL → HYD → COK,2022-01-05 06:50:00,2022-01-05 22:30:00,15h 40m,1 stop,No info,6674.0,train
IndiGo,2019-03-03,Delhi,Cochin,DEL → HYD → COK,2022-01-05 08:35:00,2022-01-05 16:10:00,7h 35m,1 stop,No info,7663.0,train
SpiceJet,2019-04-18,Banglore,Delhi,BLR → DEL,2022-01-05 05:55:00,2022-01-05 08:35:00,2h 40m,non-stop,No check-in baggage included,4319.0,train
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,2022-01-05 02:15:00,2022-01-05 19:00:00,16h 45m,1 stop,In-flight meal not included,12373.0,train
Jet Airways,2019-09-04,Delhi,Cochin,DEL → BOM → COK,2022-01-05 22:50:00,2022-04-10 04:25:00,5h 35m,1 stop,No info,12242.0,train
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 08:00:00,2022-01-05 19:00:00,11h,1 stop,No info,16289.0,train
GoAir,2019-03-06,Banglore,Delhi,BLR → DEL,2022-01-05 20:55:00,2022-01-05 23:40:00,2h 45m,non-stop,No info,3419.0,train
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 08:25:00,2022-01-05 16:20:00,7h 55m,1 stop,In-flight meal not included,7851.0,train
Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 05:45:00,2022-01-05 15:15:00,9h 30m,1 stop,No info,12284.0,train
IndiGo,2019-06-15,Delhi,Cochin,DEL → BLR → COK,2022-01-05 02:00:00,2022-01-05 07:45:00,5h 45m,1 stop,No info,6386.0,train
Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,2022-01-05 23:05:00,2022-06-29 04:25:00,29h 20m,2 stops,No info,15339.0,train
SpiceJet,2019-12-05,Mumbai,Hyderabad,BOM → HYD,2022-01-05 22:45:00,2022-05-13 00:15:00,1h 30m,non-stop,No info,2017.0,train
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BHO → BOM → COK,2022-01-05 05:30:00,2022-01-05 12:35:00,7h 5m,2 stops,No info,16274.0,train
IndiGo,2019-03-21,Delhi,Cochin,DEL → TRV → COK,2022-01-05 21:05:00,2022-03-22 01:45:00,4h 40m,1 stop,No info,5947.0,train
Jet Airways,2019-03-21,Mumbai,Hyderabad,BOM → HYD,2022-01-05 07:10:00,2022-01-05 08:35:00,1h 25m,non-stop,No info,8040.0,train
Jet Airways,2019-12-06,Delhi,Cochin,DEL → JAI → BOM → COK,2022-01-05 09:40:00,2022-06-13 12:35:00,26h 55m,2 stops,In-flight meal not included,10368.0,train
Air India,2019-05-18,Delhi,Cochin,DEL → BLR → COK,2022-01-05 20:30:00,2022-05-19 23:00:00,26h 30m,1 stop,No info,8907.0,train
IndiGo,2019-06-06,Mumbai,Hyderabad,BOM → HYD,2022-01-05 06:25:00,2022-01-05 07:55:00,1h 30m,non-stop,No info,4049.0,train
Air India,2019-03-03,Banglore,New Delhi,BLR → DEL,2022-01-05 10:00:00,2022-01-05 12:45:00,2h 45m,non-stop,No info,8588.0,train
Jet Airways,2019-05-27,Banglore,Delhi,BLR → DEL,2022-01-05 19:50:00,2022-01-05 22:50:00,3h,non-stop,No info,7229.0,train
IndiGo,2019-06-05,Banglore,Delhi,BLR → DEL,2022-01-05 21:15:00,2022-05-07 00:15:00,3h,non-stop,No info,3943.0,train
Air Asia,2019-03-05,Banglore,Delhi,BLR → DEL,2022-01-05 23:55:00,2022-05-04 02:45:00,2h 50m,non-stop,No info,4483.0,train
Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,2022-01-05 12:00:00,2022-05-22 18:30:00,30h 30m,2 stops,No info,10151.0,train
IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,2022-01-05 22:10:00,2022-06-19 01:00:00,2h 50m,non-stop,No info,3419.0,train
Air India,2019-05-18,Delhi,Cochin,DEL → GOI → BOM → COK,2022-01-05 10:55:00,2022-05-19 07:40:00,20h 45m,2 stops,No info,13486.0,train
Vistara,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 20:20:00,2022-06-10 18:50:00,22h 30m,1 stop,No info,8610.0,train
GoAir,2019-06-15,Banglore,Delhi,BLR → DEL,2022-01-05 11:40:00,2022-01-05 14:30:00,2h 50m,non-stop,No info,3898.0,train
Air India,2019-03-24,Kolkata,Banglore,CCU → BBI → BOM → BLR,2022-01-05 09:10:00,2022-03-25 11:10:00,26h,2 stops,No info,15187.0,train
IndiGo,2019-01-03,Delhi,Cochin,DEL → HYD → MAA → COK,2022-01-05 04:55:00,2022-01-05 21:20:00,16h 25m,2 stops,No info,10278.0,train
IndiGo,2019-04-15,Delhi,Cochin,DEL → HYD → COK,2022-01-05 06:50:00,2022-01-05 16:10:00,9h 20m,1 stop,No info,6442.0,train
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BHO → BOM → COK,2022-01-05 05:30:00,2022-01-05 12:35:00,7h 5m,2 stops,In-flight meal not included,13344.0,train
Air India,2019-03-15,Banglore,New Delhi,BLR → HYD → DEL,2022-01-05 08:15:00,2022-03-16 08:50:00,24h 35m,1 stop,No info,5521.0,train
IndiGo,2019-05-27,Chennai,Kolkata,MAA → CCU,2022-01-05 13:15:00,2022-01-05 15:35:00,2h 20m,non-stop,No info,3597.0,train
Air India,2019-09-03,Banglore,New Delhi,BLR → CCU → DEL,2022-01-05 11:05:00,2022-03-13 09:15:00,22h 10m,1 stop,No info,11077.0,train
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 18:00:00,2022-03-28 01:35:00,7h 35m,1 stop,No info,6673.0,train
Air India,2019-09-06,Delhi,Cochin,DEL → HYD → BOM → COK,2022-01-05 17:15:00,2022-06-10 19:15:00,26h,2 stops,No info,12392.0,train
Air India,2019-06-03,Mumbai,Hyderabad,BOM → MAA → HYD,2022-01-05 05:55:00,2022-01-05 22:00:00,16h 5m,1 stop,No info,10366.0,train
Air India,2019-06-15,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,2022-01-05 05:15:00,2022-06-16 19:15:00,38h,3 stops,No info,10703.0,train
Air India,2019-09-05,Delhi,Cochin,DEL → BLR → COK,2022-01-05 09:45:00,2022-01-05 23:00:00,13h 15m,1 stop,No info,7174.0,train
Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 22:50:00,2022-03-16 09:30:00,10h 40m,1 stop,In-flight meal not included,11087.0,train
Air Asia,2019-04-27,Banglore,Delhi,BLR → DEL,2022-01-05 23:55:00,2022-04-28 02:45:00,2h 50m,non-stop,No info,3383.0,train
Air India,2019-06-06,Kolkata,Banglore,CCU → GAU → DEL → BLR,2022-01-05 16:45:00,2022-06-07 08:55:00,16h 10m,2 stops,No info,14960.0,train
Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,2022-01-05 20:25:00,2022-05-02 09:45:00,13h 20m,1 stop,No info,11467.0,train
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,2022-01-05 09:00:00,2022-01-05 15:30:00,6h 30m,1 stop,No info,6673.0,train
Air India,2019-06-27,Mumbai,Hyderabad,BOM → HYD,2022-01-05 13:55:00,2022-01-05 15:25:00,1h 30m,non-stop,No info,3100.0,train
Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,2022-01-05 05:45:00,2022-01-05 16:10:00,10h 25m,1 stop,No info,16736.0,train
Air India,2019-01-04,Delhi,Cochin,DEL → MAA → COK,2022-01-05 20:40:00,2022-04-02 09:25:00,12h 45m,1 stop,No info,5117.0,train
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,2022-01-05 10:45:00,2022-03-22 18:50:00,32h 5m,2 stops,No info,11093.0,train
GoAir,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,2022-01-05 23:30:00,2022-06-10 07:45:00,8h 15m,1 stop,No info,6354.0,train
Air India,2019-03-18,Delhi,Cochin,DEL → COK,2022-01-05 14:10:00,2022-01-05 17:10:00,3h,non-stop,No info,5674.0,train
Jet Airways,2019-05-27,Delhi,Cochin,DEL → JAI → BOM → COK,2022-01-05 09:40:00,2022-05-28 04:25:00,18h 45m,2 stops,In-flight meal not included,13029.0,train
Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,2022-01-05 23:05:00,2022-06-26 04:25:00,29h 20m,2 stops,No info,12819.0,train
Air India,2019-06-03,Banglore,New Delhi,BLR → BOM → UDR → DEL,2022-01-05 08:50:00,2022-03-07 16:30:00,31h 40m,2 stops,No info,14143.0,train
IndiGo,2019-04-18,Banglore,Delhi,BLR → DEL,2022-01-05 08:30:00,2022-01-05 11:20:00,2h 50m,non-stop,No info,5740.0,train
GoAir,2019-03-03,Banglore,New Delhi,BLR → DEL,2022-01-05 11:40:00,2022-01-05 14:35:00,2h 55m,non-stop,No info,7646.0,train
Air India,2019-09-05,Delhi,Cochin,DEL → CCU → BOM → COK,2022-01-05 14:25:00,2022-05-10 19:15:00,28h 50m,2 stops,No info,13591.0,train
Air India,2019-01-06,Mumbai,Hyderabad,BOM → HYD,2022-01-05 19:30:00,2022-01-05 20:45:00,1h 15m,non-stop,No info,3100.0,train
